epoch,train_loss,val_loss
1,0.46950127188364665,0.4393412268161774
2,0.38340509963035585,0.3755481173992157
3,0.3545973102251689,0.3444362471103668
4,0.34667488328615825,0.3486346445083618
5,0.34169420377413434,0.335261123418808
6,0.3359810655117035,0.33794727635383603
7,0.3298718068599701,0.40181955170631406
8,0.3322836787700653,0.32210899400711057
9,0.3235862601598104,0.3328192784786224
10,0.312637375831604,0.30452145957946775
11,0.3183990211486816,0.3502927544116974
12,0.3158484597206116,0.3040501446723938
13,0.31525108297665916,0.3092924928665161
14,0.3107952341238658,0.32053476190567015
15,0.3036849897702535,0.30751078033447266
16,0.2990997899373372,0.2942859807014465
17,0.29468941561381023,0.31393064093589784
18,0.2950199332237244,0.3223194530010223
19,0.2927942897478739,0.28137404346466066
20,0.28228960347175597,0.2936933424472809
21,0.2900641822020213,0.29797429919242857
22,0.2825333463350932,0.28322574746608736
23,0.27513236276308695,0.30069801330566404
24,0.27153109419345856,0.2826025450229645
25,0.26219788420200346,0.26281133377552035
26,0.26142533679803215,0.27467099380493165
27,0.26282295807202655,0.27949252557754517
28,0.25648888119061786,0.27001594173908233
29,0.25133667496840156,0.33007507586479184
30,0.2581933090289434,0.2551748162508011
31,0.25268295522530876,0.2554727201461792
32,0.24493722478548685,0.24754612374305726
33,0.2412757531007131,0.24985346925258636
34,0.24201974149545033,0.2507106850147247
35,0.2347925690015157,0.24932243275642396
36,0.2380108831723531,0.24571572196483613
37,0.2313573972384135,0.24120990550518037
38,0.2312801933288574,0.25584200644493105
39,0.23081493306159973,0.24516949474811553
40,0.2268266528447469,0.24021316802501677
41,0.22396200772126515,0.23646876358985902
42,0.22121158202489216,0.23186485862731934
43,0.2177722661495209,0.23415963184833527
44,0.21957023151715596,0.23741760182380675
45,0.21418877577781678,0.2366277915239334
46,0.2103182929356893,0.23059817528724671
47,0.21308541818459828,0.23072275364398956
48,0.2101934535106023,0.22815111291408538
49,0.21117747676372528,0.2291349118947983
50,0.211008970618248,0.22719611740112305
51,0.2051210518280665,0.22790953063964844
52,0.20869122942288718,0.22597047412395477
53,0.2036017359495163,0.22781243550777436
54,0.20576756962140402,0.22571115803718567
55,0.20454855155944823,0.224635080575943
56,0.20321288820107777,0.22528759706020354
57,0.2055122176806132,0.22656480503082274
58,0.20127252542972565,0.22589674210548402
59,0.20096728368600209,0.22566809189319612
60,0.20300865368048351,0.22476137733459473
