epoch,train_loss,val_loss
1,1.6196329123179118,1.9938069858551026
2,1.295666083017985,1.2749121923446656
3,1.1888081363042196,1.2257457962036133
4,1.1169087975819905,1.1648055715560912
5,1.0198111028671264,1.1456680431365966
6,0.9730816528002421,1.1325078067779542
7,0.9335574321746826,1.1077098655700683
8,0.8900512855847676,1.1093250961303711
9,0.8317617597579956,1.3969348821640015
10,0.8185355195999146,0.9499995317459107
11,0.7831962946256001,1.2781375579833985
12,0.7325185438791911,0.9035558815002441
13,0.7035607188542684,0.8923868536949158
14,0.6726495510737102,0.9554037313461303
15,0.6431711923281351,0.8809766125679016
16,0.6071188661257426,0.9015909032821655
17,0.5958053372701009,0.8751564826965332
18,0.5570092155138652,0.8377960391044617
19,0.5406154187520346,0.9982836561203003
20,0.5120938243865967,1.1069829416275025
21,0.48039918414751687,0.9342047300338745
22,0.44967443895339965,1.1412728872299194
23,0.4350421148141225,0.9075516014099121
24,0.41481146025657656,0.8174086117744446
25,0.38080142688751223,0.8362474341392517
26,0.3531100379625956,0.9855820026397705
27,0.3329183367888133,0.8518274016380311
28,0.3233483920097351,0.943030746459961
29,0.294472780307134,0.9428892192840577
30,0.27313296182950336,0.8763667268753051
31,0.24651830911636352,0.9672217664718628
32,0.2324922151565552,0.9557280654907226
33,0.21377417274316152,0.8718188562393189
34,0.18699064977963764,0.8364372420310974
35,0.17713148323694866,0.7416880226135254
36,0.17412415293852487,0.8283364191055298
37,0.1674300367037455,0.7684973645210266
38,0.14833278886477153,0.7877753338813782
39,0.13576316968599955,0.757977963924408
40,0.12623625481128692,0.7688482165336609
41,0.11824137421449026,0.7660863003730773
42,0.11493750315904618,0.7628383073806763
43,0.10754959215720494,0.7770450491905212
44,0.10166950170199077,0.7657153129577636
45,0.1005317175189654,0.736340603351593
46,0.0974620498418808,0.76348286485672
47,0.09308868263165156,0.7341739706993103
48,0.09260637722412746,0.748861457824707
49,0.08966035648187001,0.7280669150352478
50,0.0863773012359937,0.7244254727363586
51,0.08479875407616297,0.7372662472724915
52,0.08623453287283579,0.7285202827453613
53,0.08205544638633729,0.7209038634300232
54,0.08191688627004623,0.7249953079223633
55,0.08249912158648173,0.7289884839057922
56,0.08018676269054413,0.724823724269867
57,0.08018619515498479,0.7228698954582214
58,0.08199213931957881,0.7238107643127442
59,0.07929048152764638,0.7267865347862243
60,0.07953962339957556,0.7202155079841613
