epoch,train_loss,val_loss
1,2.841658658981323,2.9357794551849365
2,2.257723087310791,2.241602563858032
3,2.0097962284088133,2.539063262939453
4,1.8724462327957154,1.829486149787903
5,1.7318052956263223,1.9150560626983641
6,1.641278200785319,1.9682420978546142
7,1.5686223373413086,1.8807240381240844
8,1.4563995695114136,1.814208932876587
9,1.374829891204834,1.9180465488433838
10,1.3226139844258626,1.7126507167816163
11,1.303484354654948,1.5249600162506103
12,1.180277972539266,1.643835057258606
13,1.1535956649780272,1.7042796154022217
14,1.1063153279622395,1.4708161058425904
15,1.0547259737650554,1.320428723335266
16,1.02069633102417,1.3558304500579834
17,0.9988626718521119,1.3118191776275634
18,0.9310974678993225,1.5245814971923828
19,0.9002428166071574,1.5271013565063476
20,0.8768329429626465,1.3889979772567749
21,0.8156167799631755,1.351686529159546
22,0.7698250055313111,1.9360606651306151
23,0.7536772621472677,1.4880727024078368
24,0.7257721853256226,1.630485785484314
25,0.6788458687464396,1.2140187406539917
26,0.6490217932065327,1.2500282363891602
27,0.5918505792617798,1.6062046308517457
28,0.5786353146235148,1.2779314632415772
29,0.5426949524879455,1.2414180641174317
30,0.5236141974131266,1.366609829902649
31,0.5000749646822612,1.4112803802490235
32,0.44301273266474406,1.2383978404998779
33,0.41493443632125854,1.3018619585037232
34,0.3886000739733378,1.5215258436203003
35,0.39010520521799724,1.2145079488754273
36,0.37522272404034934,1.1560212574005126
37,0.3499452544848124,1.1424559135437011
38,0.3316573890050252,1.1427708702087402
39,0.30620595773061116,1.245091480255127
40,0.29607865619659424,1.1295162782669068
41,0.27770835196971894,1.147088044166565
42,0.2595895185470581,1.1942555084228517
43,0.2545359484354655,1.1068581914901734
44,0.246471631526947,1.1056888303756713
45,0.24334748967488606,1.1113412857055665
46,0.22546721045176188,1.1481965150833129
47,0.21474481813112895,1.1436150016784667
48,0.21842795292536418,1.1180056715011597
49,0.2156507260799408,1.1126170282363892
50,0.20625733160972595,1.1025211305618285
51,0.20491477318604787,1.0941769981384277
52,0.2017108630736669,1.1048754968643189
53,0.1959820732673009,1.0858412475585937
54,0.19767395333449045,1.0898808364868164
55,0.1928940908908844,1.0965018043518067
56,0.18995500636100768,1.0990544538497924
57,0.18659063331286113,1.0877673358917237
58,0.1875375051498413,1.091261152267456
59,0.18625818427403767,1.092727765083313
60,0.1839626279671987,1.0875337820053101
