epoch,train_loss,val_loss
1,1.5508674001693725,1.4966686639785767
2,1.2621013708114623,1.1985205011367799
3,1.12807377465566,1.3508770999908448
4,1.0536252263387045,1.0576220750808716
5,0.9898527243932088,1.422632628440857
6,0.9296068237622579,1.2582080717086792
7,0.8546643993059794,1.0385642423629762
8,0.8086507738431294,1.1574996547698975
9,0.7786437726020813,0.9082783441543579
10,0.738185079574585,1.0163037796020509
11,0.7188007426261902,0.9178469533920288
12,0.6601494312286377,1.0234968190193177
13,0.6463915801048279,1.1833099660873414
14,0.6202562878926595,0.936926236629486
15,0.6134283022880554,0.9165530409812928
16,0.5505697838465373,0.9463384943008423
17,0.5230072164535522,1.1430496053695678
18,0.503188281695048,0.8066952447891236
19,0.4759816207885742,0.9070589876174927
20,0.4426741647720337,0.8117040300369263
21,0.4264419902165731,0.8404120173454285
22,0.405417325814565,0.796125816822052
23,0.35924011532465616,0.7079621152877807
24,0.33878034035364785,1.268470001220703
25,0.31608829776446024,0.7102426705360413
26,0.29309748514493306,0.7584616088867188
27,0.28410565026601153,0.8271261215209961
28,0.2573194180727005,0.8919582018852233
29,0.23898597653706868,0.7425423789024354
30,0.23196326390902203,0.7524653615951538
31,0.20871795888741812,0.8936328549385071
32,0.19077994958559671,0.738955057144165
33,0.17195636888345084,0.7839165611267089
34,0.1606700966358185,0.7071857795715332
35,0.14465329790115355,0.7423211073875428
36,0.14026908719539644,0.758338095664978
37,0.13310151000817616,0.7079789853096008
38,0.12170893081029256,0.6578574028015137
39,0.11600487941503525,0.6947744874954224
40,0.1097397187948227,0.6786954684257507
41,0.1040847237110138,0.6900139336585999
42,0.09820471415917079,0.653763578414917
43,0.09773098663489024,0.6465892815589904
44,0.09239006620645523,0.6699487552642822
45,0.08687557685375213,0.6888103618621826
46,0.08495072491963704,0.6410470085144043
47,0.08164883200327555,0.6427604422569275
48,0.07911351384719213,0.6278023805618286
49,0.07752289960781733,0.6321416659355164
50,0.07812205562988916,0.6482869215011596
51,0.07641188454627991,0.6394978866577149
52,0.07552327406406402,0.6345597248077393
53,0.07618940832217534,0.6363613924980164
54,0.07549215149879455,0.6400900659561157
55,0.07354906030495961,0.6418227930068969
56,0.07105379551649094,0.6339565100669861
57,0.07081154108047485,0.638211772441864
58,0.07245336971680323,0.6354942831993103
59,0.07249510375658672,0.6365513329505921
60,0.07060131869713465,0.6400648608207703
