epoch,train_loss,val_loss
1,2.6513517068227133,2.4714060440063474
2,2.0976322180430094,2.149531421661377
3,1.8766607373555502,2.107212299346924
4,1.736230546315511,2.0354976539611815
5,1.6157517760594686,1.9088369464874269
6,1.5005260887145997,2.124210083961487
7,1.3835224895477294,2.071396116256714
8,1.3183818788528443,1.687664789199829
9,1.2568861354192098,1.5037296638488769
10,1.202757417678833,1.8631986427307128
11,1.1648447014490764,1.4388898849487304
12,1.0831786578496296,1.3858414268493653
13,1.066415974299113,1.3208608503341674
14,1.0248359279632568,1.3260223808288574
15,0.9980673427581788,1.409756314277649
16,0.9209821511904399,1.4615688858032228
17,0.8797104438145955,1.2399962682724
18,0.8326169808705648,1.4313982982635498
19,0.8120000464121501,1.3428171997070313
20,0.7270948712031047,1.2437514371871947
21,0.7479821376800537,1.3378476314544678
22,0.6937775449752808,1.4571477460861206
23,0.6562256725629171,1.2194756736755372
24,0.6117307755152385,1.253021614074707
25,0.5706624749501547,1.24708292388916
26,0.5371438117027283,1.232358744621277
27,0.5200186657905579,1.5760023260116578
28,0.4822906920115153,1.1163834609985352
29,0.4515661686261495,1.1193666219711305
30,0.4423790165583293,1.1861194372177124
31,0.40881631191571555,1.168375991821289
32,0.38263593419392905,1.1012829933166504
33,0.35099861296017965,1.0622178363800048
34,0.3395152405897776,1.1718891553878785
35,0.3193596124649048,1.1054613494873047
36,0.3010602358182271,1.0808019304275513
37,0.286373619556427,1.1171909580230712
38,0.27141091458002725,1.0247431621551513
39,0.2590819706519445,1.0741998014450074
40,0.2399043321609497,1.0765104970932007
41,0.23242483488718668,1.1570121154785156
42,0.225491116921107,1.1365409412384033
43,0.21478112272421518,1.001427011013031
44,0.20682683221499126,1.000230218887329
45,0.20450341538588207,1.0761832857131959
46,0.19230081991354625,1.0285490102767945
47,0.18848045066992442,1.0017296380996703
48,0.18311273594697317,0.9985301866531372
49,0.1766295822461446,0.9848891983032226
50,0.17562623238563538,1.0028724460601806
51,0.17366582791010537,0.9909111270904541
52,0.17059531195958455,0.97112096118927
53,0.1693068384329478,0.987158226966858
54,0.17048969900608063,0.9988171687126159
55,0.1705299433072408,0.9908390550613403
56,0.15960575218995413,0.9774223713874817
57,0.16062504847844442,0.9886359038352966
58,0.1592366538842519,0.982560751914978
59,0.16066296354929607,0.9806026563644409
60,0.1592787213722865,0.9843862934112548
