epoch,train_loss,val_loss
1,0.374739382425944,0.3690248236656189
2,0.3079108929634094,0.3455653562545776
3,0.27184949843088785,0.33407637357711795
4,0.25383510533968606,0.28992821025848386
5,0.23698895756403604,0.315059152841568
6,0.22669310629367828,0.26694143295288086
7,0.2117259665330251,0.2309145851135254
8,0.19872827192147574,0.2601893215179443
9,0.19314844322204588,0.2131837387084961
10,0.18143942324320475,0.18949819493293762
11,0.17937980683644614,0.22230781853199005
12,0.16911073605219523,0.24521947360038757
13,0.16411000800132752,0.2247782061100006
14,0.1594759720961253,0.20585233736038208
15,0.16015499802430472,0.19464771521091462
16,0.14673141304651896,0.18640668821334838
17,0.14175983003775278,0.2038440251350403
18,0.1372540892759959,0.18693698418140411
19,0.13092479991912842,0.21224160015583038
20,0.1260874067544937,0.1924797954559326
21,0.12291901143391927,0.19210087943077087
22,0.11779423328240712,0.1706160304546356
23,0.1092939201593399,0.18296818840503692
24,0.10324789675076802,0.19219481039047243
25,0.09969903604189555,0.16759102439880372
26,0.09320530045032502,0.169717875123024
27,0.08952815349896749,0.1938490388393402
28,0.08039129640658696,0.162398974776268
29,0.07727204859256745,0.1662523455619812
30,0.0768702649474144,0.15622765362262725
31,0.07246473415692647,0.17801185142993928
32,0.07003144172827402,0.15701192903518676
33,0.0636666541894277,0.1836462893486023
34,0.05924996849894524,0.15608601081371307
35,0.054431508600711824,0.1655915837287903
36,0.05352680353323619,0.1373557769060135
37,0.048455363353093465,0.15175256180763244
38,0.046125329355398814,0.13796508038043975
39,0.043772332578897476,0.1513865226507187
40,0.04102285437782605,0.1369366796016693
41,0.03878455137213071,0.13306186830997466
42,0.03668368701140086,0.14256440925598143
43,0.03687631941835086,0.13166130012273788
44,0.032764124870300296,0.13405662024021148
45,0.03287376499176026,0.13447962868213653
46,0.031165893495082857,0.13434879887104034
47,0.028969008008639018,0.13312729859352113
48,0.02817848575115204,0.13348817873001098
49,0.027538641273975373,0.13275190365314485
50,0.02680371508995692,0.13243359065055846
51,0.025993372817834218,0.13518199598789216
52,0.025655553216735523,0.13064295494556427
53,0.025251532753308614,0.13222149753570556
54,0.025645266344149906,0.13237389981746672
55,0.02530335906147957,0.13290696728229523
56,0.023525270690520603,0.13105622392892838
57,0.023775618796547254,0.1317332535982132
58,0.024652565777301787,0.13153730201721192
59,0.024825418363014856,0.13090192782878876
60,0.023873627066612245,0.1315538777112961
